version,execution_time_ms,total_docs_examined,total_keys_examined,n_returned,indexes_used
BASE,1,3,3,2,"['idx_catalog_category_price', 'idx_catalog_category_sales', 'idx_category_name_translated', 'idx_category_rating']"
OPTIMIZED,1,3,3,2,"['idx_catalog_category_price', 'idx_catalog_category_sales', 'idx_category_name_translated', 'idx_category_rating']"
